OriginalTraitName,OriginalTraitValue,OriginalTraitUnit,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,Interactor1,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor2Order,Interactor2Family,Interactor2Genus,Interactor2Species,Interactor2Stage,FigureTable
oocyst prevalence,0,percent,temperature variation,realistic diurnal temperature fluctuation,0,Celsius,Anopheles gambiae,20,Animalia,Arthropoda,Anopheles,gambiae,adult,female,17,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst,table S1
oocyst prevalence,0,percent,temperature variation,realistic diurnal temperature fluctuation,0,Celsius,Anopheles gambiae,20,Animalia,Arthropoda,Anopheles,gambiae,adult,female,17,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,0,percent,temperature variation,realistic diurnal temperature fluctuation,0,Celsius,Anopheles gambiae,17,Animalia,Arthropoda,Anopheles,gambiae,adult,female,17,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,22.73,percent,temperature variation,realistic diurnal temperature fluctuation,0,Celsius,Anopheles gambiae,22,Animalia,Arthropoda,Anopheles,gambiae,adult,female,19,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,0,percent,temperature variation,realistic diurnal temperature fluctuation,5,Celsius,Anopheles gambiae,20,Animalia,Arthropoda,Anopheles,gambiae,adult,female,19,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,5,percent,temperature variation,realistic diurnal temperature fluctuation,5,Celsius,Anopheles gambiae,20,Animalia,Arthropoda,Anopheles,gambiae,adult,female,19,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,0,percent,temperature variation,realistic diurnal temperature fluctuation,5,Celsius,Anopheles gambiae,10,Animalia,Arthropoda,Anopheles,gambiae,adult,female,19,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,spz,table S1
oocyst prevalence,13.33,percent,temperature variation,realistic diurnal temperature fluctuation,0,Celsius,Anopheles gambiae,30,Animalia,Arthropoda,Anopheles,gambiae,adult,female,17,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,40,percent,temperature variation,realistic diurnal temperature fluctuation,0,Celsius,Anopheles gambiae,30,Animalia,Arthropoda,Anopheles,gambiae,adult,female,19,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
oocyst prevalence,50,percent,temperature variation,realistic diurnal temperature fluctuation,5,Celsius,Anopheles gambiae,30,Animalia,Arthropoda,Anopheles,gambiae,adult,female,19,Celsius,27,Celsius,Haemospororida,Plasmodiidae,Plasmodium,falciparum,oocyst and spz,table S1
